tweet,sentiment
   Hey Honey  Bunny here  big bunny hugs,3
 Aww that sucks   It wasn`t that long though but Dianne was SO cute as usual <3 Hopeflly some1 mite put it on youtube :S,2
i have a headache,1
 CEREAL DOESNT COME WITH TOYS ANYMORE!. i jus been thinkin i was buyin the wrong kinds  say it aint so Mo.,2
" omg! is it mine? omg that`s so gross, I`m so sorry! I TOTALLY forgot about it until JUST now!",1
My convo starts in 12 hours... and I am sitting 6500Km away writing GIS queries,2
" helooo, how wos work pretty, hope it was alright and a certain individual didnt ruin it.",3
  how great is that!  Nice to meet you!,3
" oh, are we not doing that anymore?",2
 yooo myyyyye bust how I`m sick tooo... Just shoot me.  Long night tonight.,1
 Here`s a more appropriate @ tweet... is everything ok  Your last 3 days of tweets don`t paint a good picture :-C,1
I still have a very depressed feline fuzzball...it`s another trip to vet tmrw to see what can be done...worried doesn`t even cover it,1
ah just finished making tea for tomorrow night,2
Happy Mother`s Day !,3
The cats are gone. All 3 of them.,1
just hanging around the house. Thank god its friday. With nina &  later and working on a global project,3
i REALLY miss my photofiltre and photoscape  GIMP is too **** confusing,1
yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk,2
 Loool.  Thats just the way things are!,2
" Yes I know  as my school reports would say `must do much better` Ah well, just in time huh  http://myloc.me/tHq",2
"dont look at my toes... put shoes on, then painted big toe!",2
" : woot please post a pic, I won`t recognize you without it",2
Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks,1
Wondering if I shouldn`t be gettin to bed about now...,2
" hi ty. good morning. happy mom`s day to your mom. i love that your entire family is adding me on FB! i love `em, very sweet!",3
Ugh i have boom boom pow stuck in my head and i hate that song,1
" Ugh, looks like you`ll have some work to do . Good luck",3
http://www.miss-hudgens.com/?p=28 Nessa is 27# on Maxim Magazine`s Hot 100 of 2009,2
 facepalm  hope the interview is a choice and not a forced thing...,3
 haha they might! good luck if you`re taking it as well  i`m hoping I get a 1 for putting my name down,3
Holidays are now over - not fair!!,1
I`ll try to put together a list for a portfolio to put together along with a little bio on myself in my free time (school is stating),2
_ndo OMG I`m so sorry. I`m the worst employee ever. My hard drive just failed taking the survey data with it,1
 Up is out?  I didn`t get the memo   It looks amazing.,3
" i would direct message you regarding blogging while brown, but a sista hasn`t mastered that technique yet  ..lol",2
http://twitpic.com/4wf3a - the definition of true beauty,3
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,3
_GANT popularity contest and they think twitter will help.... and it`s become trendy,2
 Go log in to your myspace page.,2
Listening to Someday We`ll Know... It`s raining!!!!,2
21 days away from being evicted,2
 my brain has become a converter ed. i`ve been converting into LM for  the past 2 yrs. every 5 mins of every single day,2
Isnt looking forward to going back to work. 3 days off isnt long enough,1
" I`m not going on the cruise. Wish I was, but I`m just going on vacation. Thanks though",3
 yes I am,2
 i tryed that the other day but they werent giving up what they were using!,2
        _beckett Thanks so much !,3
sitting at home...need to be pricing the garage sale items...but i have no help so its boring by myself,1
"dont know why so tired today  bye, time for beddy",1
 sweet! make sure to put some in your bag for me,3
  kashtam ! wonder what would be the similey  for CSK,2
 Thanks! I appreciate it  I know my unsubscribe list will grow tomorrow LOL,3
im away from the comp....  ill be back later,2
My girl needs a hug! She lost here cell phone,2
_Thomas ahhhh probably will...not good  u been Dubai before??,1
 no one I know likes boiled peanuts t.,2
I`m medal drivin`  home in 3 hours!,2
" What makes me sad is when I follow someone I converse with and have similar bios, but they don`t follow me back!",1
" Aww   I know, we used to chat but you became too cool for me ;)",2
Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,2
Any city person want to trade n live in the country? House comes w racoons n skunks livin under deck. *sigh*,2
I`m really full. Had a HUGE breakfast.,2
 There is a motorcycle for sale down the road. Mind you it`d be stupid of me to get it. Summer 5 months away.,1
Cleaning my room and listening to britney.,2
 awww  thanks lol - ermm what happened to the studying !? ha ha,3
Today I`m working on my 'Quirky Q' cue or maybe it will become a concerto,2
doesnt understand twitter,1
Can`t wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.,2
" FML dad didnt leave me any moneyz, so i have 2 wait till he gets home   call me when you finish work?",2
I am in so much pain I really don`t feel too good. Couldn`t eat my dinner,1
is gaining weight.  rather,2
 Thanks very much for the #ff  ! My only one today,3
in 7-11  w/o you,2
About to watch JONAS!  I love DVR! ,3
" i did, thanks laura",3
 very cool,2
Theres nothing like your own pillow.,2
"Ah, the bank holiday shift at work. What fun",1
 haha!! someone with an axe just popped up at you Scenie!! what did you do???,2
washed eye out but got water up my sleeve,2
there are some really scary noises coming from outside,1
Have been rolling on the bed for the past 2 hours ... Still unable to sleep,2
 don`t forget to follow emma from london =  like you said you would! I wish you aswered my calls  it cost me ï¿½14,3
My Boss is in Las Vegas on the 14th A.P.P. Conference.......pfff,2
"Star Trek in IMAX  with Kojikun, seastar, Brian, and George.",2
 I have to use the bathroom,2
 I would never do such a thing!  The only thing more awesomerer is the 15 minute walk to work,2
Off to NC tonight until June 7th! I`m going to miss NYC   Getting ready for my 21st birthday Luau BBQ on JULY 11TH!!!!!!!!,1
 SOunds goood!,3
Demoing with Gary burr!!! So excited to get some 'girls' music on tape!! Missing Tayla,3
PIRATE VOICE:AAARRRGGGHHH!!! I 4GOT MY **** WALLET AT WORK SHERMK!!! DAMMIT!!! SO CLOSE YET SO FAR!!! NOW IM STARVING!!!,1
 I LOVE music!!!  I like almost everything!!,3
going to work soon and so excited!  ugh id rather pluck my fingernails off,3
 You cant put off age but you can put off grumpiness,2
omg maddie in holby is dead. Gutted. loved Nadine lewington and really wanted Maddie and Clifford to get together,1
he wasn`t there today   my free day from when the bell rang and wen it rang at the end was okayy..but after,2
On way home tonight I saw a newspaper headline `Susan Boyle quits....` surely not true,2
"morning world, is raining 2day so revision don`t seem so tough,",3
fml my work uniform is on the washing line,1
http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction,3
I love how simple my Safari toolbar is!  http://twitpic.com/4wssc/full,3
" Plus you guys have IceTV, which I REALLY miss from living there.",1
I hate when it`s cloudy. I either want it to be all sunny or raining. It`s cloudy,1
" it`s stable, faster than 2.x and working.",2
 Bad times for everyone  Whywhywhy do we have to write essays  No fair!,1
Came from Greenbelt & Power,2
Just went with Kerri to her locker for the last time.,2
is off to Body Power Expo! Thanks to Mike at Performance Network for the free tix!,3
"Still @ hospital, unexpected complications",2
"band recommended by Steph --> PARAMORE! who else? a great band, consists of->Hayley Williams,Josh Farro,Zac Farro,Jeremy Davis  best band!",3
_B_ Shes bad they won`t sort her out and is in a lot of pain,1
Guess this is a 24-48 hour maintenance.. I`m so sad I miss my friends,1
" sweet, I`m trying to earn my crown for gluten free baking!",3
Tired of hearing stories about everybody going to Ibiza...,1
 I would totally take you to prom...if i hadnt already gone  sorry lol,1
" uhh, congrats for your two years anniversary",3
 *hugs* im glad you got to spend time with your mom.  if your free tonight drop by for some spaghetti,3
 cant believe tila tequila was in ct and i didnt know... so upset,1
i`m so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!,1
" ohhh ok. so like, it`s more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn`t unlock it",1
"despite rain, having a fantastic day",3
 Done some book signings in Manchester. Nice people up there. Enjoy the week.,3
 not me  sigh,2
I`ve just realised. I won`t be able to talk to any of you crazy cats on Sunday. Is sad now.,2
 maybe cause you look so innocent,2
"I did the dishes and I`m now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",1
 Thanx love,3
I dont like the dentist...they make my gums hurt,1
 did you put a spoon in it?,2
Wrong button  ... My music biz building that is.,2
iTunes upgrade reset playcount to zero  How will I know which one of 143 Hasta Siempre versions I liked best?,3
is watching the final episode of E.R  Goon SuBo 2 win Britians Got Talent,3
Just wrote lyrics to my new song exciting!I slept on a full stomach again it`s the worst feeling waking up and still feeling full  euggh,1
 gets to go home. I`m here until 10:30,2
"Last night, bad guys tried to enter in my garden . I was alone and I really got scared. Now, i feel really stupid. NOT FUNNY",1
 Tat PsP! Its ma fathers name. Hw did it end up in ma userid? Long story..  `vishnupsp` is ma user id for almost all sites.,2
FacePanda is cool,3
 yummmm make sure u leave some 4 me im home cleaning up working mad hard,1
 drive safe Linz... Give us some pit stop updates on where you are,2
 Musashi`s? Has a great rep. Or did you go to Kitaro,3
 u were doing good with the replys now u fallin off sad face,1
 If it doesn`t work out drop me a line. I would love to talk with you more about this,3
fun in the sun hmmm hell no it`s cold,2
Lula is not feeling well.  http://tinyurl.com/m8kcsq,1
Making yet another attempt to attend church on a Sunday morning!  Looking forward to it y`all.,2
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,1
 Cool. You should qik some stuff from the newsroom sometime. LOL.,3
 Just got it a few hours ago! So not yet!,2
" Yep, I tolerate nothing in the facebook group",1
Im sad...there`s a for sale sign in front of my house!!,1
 You seem Cool,3
_Kid congrats; im still jobless,2
"Oh my Lord, I have no idea if any of this **** I spout is getting to anyone",1
American trade journalists ask PRs `how are you` almost 100% of the time; UK journalists? Erm...not so much   How come?,2
" Kewl, I only got my iPhone and gotta hope it lasts all weekend  Only got a shuffle, might bring that anyways... See ya 8am!",3
 I ended up not going because my left knee is killing me.  I think I pushed myself too much yesterday,1
 yeeeeeessss I can`t wait! Too bad I can`t drink,1
" awww  no problem , sorry for tha loss",3
"sooooooo NOT happy, wattching disney channel....rubbish rubbish rubbishhhhhh, didnt get my jonas 3d poster  the dude wasnt there but im..",1
 I could have! I had extra tickets. Plus we had two Twitter Giveaways  We`ll get you next time.,2
 yes but 75% are on the wrong wireless plan,1
oh no noisy family who live next door are back from holiday  there goes my peace and quiet,2
 Would love it but have plans,3
 yay! your face is back,3
Misses her work peeps,1
Zac Brown is in Virginia Beach and I`ll be in NoVA,2
" no juice here, I didntb even let him use my computer.",2
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,3
Beautiful sunshine when I woke up  but litterally 2 minutes later it starts to rain! I must be cursed.,1
 We don`t have either of those here.,2
my mum was really happy about her pretty small present^^ oh wow tomorrow we can test one of her presents: one of the pasta recepies,3
im ill hate it. seeing the doc at 5 too 10.,1
 haha i love surprises! i don`t work til sunday tho so i have to wait.,3
Going to search out areas we would like for our dream home to also home my home based business one day soon.,2
ACK! Fast forward right through that Coldplay song.,2
"  Blushing, blushing & once again blushing!",3
 so where r u spinning now that the Hookah is R.I.P.?,1
"is HOT. Just done some late spring cleaning! About to settle down with a book i can barely read, left my glasses at my mums",1
Im kinda bored anyone else I think ill listen to some hip hop its pretty good you should check it out www.bseresults.net,2
" Ha - check the high scores today, currently I have the No1 slot at 306,000",2
" Oh ****, happy late birthday! (my txt didn`t send  )",2
"I am tired tired tired, I think Im getting sick.",1
" crazy, we live in a small world, and now u live in covina huh? Thas where im @ but back to chino i goooo",2
Our Quinn puppy got a sick.,1
 I dont have one here - dunno if my mom ever had one or not -,2
Looks like I got a defective MacBook,1
  dude i will check again but i couldnt find anything  haha i am capital ****-E-D,1
Recording an acoustic track! For you sexy kids!,2
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,2
 Your peanut butter soup was amazing and so was everything else!  Your soup was just a higher form of amazing,3
let`s make this last forever.,3
"nyc placements have started to come out, but it looks like upgrades might have to wait yet another two weeks for placements! dreadfully",1
About to go on 6 hour journey home,2
?and make your own pledge while you`re at it!,2
Its so obvious Holly will go thru on the public vote straight away.. SOOO obvious.  Then Aidan and Greg for judges but neither should go,2
One more thing 'Shattered' is an amazing song by O.A.R.,3
"****. have to break my 'no work in weekend' rule  so much overloaded with work. aargh, hate it!",1
"Monday is here, One more day",2
" Lol, me too!!",3
_vip bye bye beard,2
 hahaha probably not  sorry. We`ve got some things to do around the house...and then we have to go to Jared`s parents house,3
 I need to do some more post but I don`t have time on this tour  ........... Apologies to all my supporters.,1
I think I`m going to go outside and have a very John Cage moment   Music majors rejoice!,3
Oh..I`m so borin`.. why not play the computer?? My mom`s say: because your makin` task..!!,1
 YAEH! THANK GOD IM HOME!...it suekd and we were kicked out of a church.,1
Pinkberry,2
 thats great babe!! congrats!!,3
Daddy just left.................without me  http://yfrog.com/13pdrmj,1
"Aw man, Half Term isn`t long enough    lol!",1
 I GOT IT! i hope i get off of work in time for UP   want my job?,2
"http://twitpic.com/4w67l - Im hard core, you just dont know it.",2
Is Skyping with family,2
"long, fun day  now for some relaxation. some TV with the mom, then sleeeep",3
 Aww maybe i traumatized her.,1
my computer at work is not working...booo... need a new one!  TGIF!,2
 I am filming musicans friends of mine   at a Legion  These people sure know how to dance,2
 I sound really Brummie lol but most of all I just hate looking at myself!,1
Watched Australia last night and got to say bloody fantastic film with the added bonus of Hugh Jackman  definitely a got to see movie.,3
"Just watched Mall Cop. Wasn`t that funny, but wasn`t too bad. I guess. I kinda wish I still worked at a movie theater....",2
im going to miss khyy so much,1
hasn`t had time to go on twitter since working full time!,2
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",2
"I`m a giver, and life rewards the takers.  We givers make takers possible, but we get no appreciation for what we do--we just get taken.",1
Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway,3
meeting just in time that iï¿½m trying to win something  prize`s friday!,2
 lol to see my king,2
In weho! They`re are playing a lot of brit,2
 Forget completely abt uploading the assignemtn.   Only remmebered cos of ur twit.,2
"_xo  wicked , what time you leaving? how come you cant stay the night",1
"TGIF but its so rainy and blah outside!  I need sun   Trying to figure out what to do tonight, I want to go to Prov to the Hookah bar.",2
"Will this rain ever go away, my puppy is getting cabin fever and she doesn`t like going out in the rain",1
have been to portugal. and spain. and has a sore throat. scary?,1
"Kidney Stones again  What did I ever do to deserve this kind of pain, not once or twice but five times in my life??? Took drugs, peace out",1
oh no its ok  they are coming on just now x],2
 Ouch. Better get used to it. I think 22 to 25 are prime marriage years.,1
 thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here,1
" http://twitpic.com/3goxn - yes , everybody love you. i`m a german Fan. Follow me !",3
 Did they already get the tax money from Helio for his winning of the pole position! Ha ha!!,2
_always3 okay well thank you you are so beautiful too,3
 *hugs* listening to EBTG 'Each & Every One' perfect for public hol Monday morn with cuppa T,2
im very much excited to go back to school,3
 blogtv was fun! can`t wait til next time,3
 : yes she got all lovey with him&he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,2
 Hey,2
IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,1
I`m going to miss my iMac so much over the next month.,1
Good morning/afternoon/night to all.....studying as usual!,2
"I work for a man that is so bad at his job that the whole team want to leave, and all believe we would make more money if he wasn`t here",1
Download movie  '81st Annual Academy Awards Pre-Show' http://tinyurl.com/cdue53 cool #movie,3
 sounds good. Appreciate the suggestion. Been a week now and we`re still offline  Time to ask for a refund...,3
is wondering where all her friends went...,2
is in the middle of the Irish sea... with absent elk brothers.  Newcastle here we come.  we love Newcastle,3
Cancelling my JavaOne  http://ff.im/3nzTH,1
My lower-left molar stings whenever it comes into contact with sugar of any sort,2
I just wanted dippin dots,2
So bored in chem n im super hungry! Ugh,1
my stomach is bleh!,1
 Why do you guys use camera angles that make it look like there are only 200 people in the building?,2
" Uhhh.. not yet, maybe my DM inbox is just slow. I`ll let you know when it shows",1
when i fell on my **** today i ripped my blue volcom boxers,2
Eating.,2
 My son is back at school today - feeling much better. He wasn`t too sick...he didn`t stop eating!,3
_luca LOL!  I`m glad to see I`m not the only one out there!!!,3
At the hospital today then shopping with mom  Love you so much.,3
" LOL, point at yourself and laugh!",3
 The photos are AMAZING! What a GREAT subject & way to get people educated about Darfur! HUGS! U are an inspiring woman!,3
 such a great idea!,3
but mum just burned some bacon... smoke alarm`s a ****,2
had my lip pierced for about 30 minutes.  and then it died.,2
" Say cheese for the camera, or throw up some Western Mass gang signs to be cool",3
"gonna have to eat something, I feel so horrid.  I need a hug!",1
TODAY WAS SOO FUN!!  happy bday chrissy <3,3
going to the movies with clancy,2
 ...hey danny .. did u run already ???    hope you have a good day ;)   i love you !!!!,3
 I really don`t want to send it over this site....it`s kinds private...,2
Ok super bored... guess no one else it,1
Oh noes! The TV is broken  No red standby light or anything... checked the plug fuse... now to the inside,1
 Alternatively you could spend the afternoon reading 'Pride and Prejudice and Zombies',2
" Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we`re behind.",2
not at work today .i have my car back she is perfect  going random shopping later .,3
Omg i just seen the sun and the moon in the same place  this disproves my theory that they are the same person,1
"we`re one, but we`re not the same, we get to carry each other",2
 MILEEY HOW CAN I VOE IN THE MV MOVIE AWARDS ?,2
Golden Girls marathon about to end  #lofnotc,2
" ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",1
" I guess it`ll work under fusion. Otherwise you`ll have to boot directly to Vista just to do some online banking, which sucks",1
Happy Mothers Day! Will be going out later at 6 pm to watch a well renowned group of singers!,3
_Idol Looking for a new SMS sending solution? http://promotion.itagg.com Get ï¿½6 FREE SMS with every iTAGG!,2
Too busy at work today to trash the cubes of vacationing team members,2
happy 1 year! <3,3
 I love colorful horsies!,3
 silly wendy. You know I don`t speak French  just a few more hours to study before this ride begins!,2
" cool, not a big user of DM though",2
i`m at work starving,1
Omfg this test is a joke.,2
wishing warped tour came to london canada.....,2
"_magician Yes, apnea, but it`s not the prob. I`m on meds that might be causing this.  they help otherwise so much, don`t want to stop",2
 morning. hope its a good day despite the revising,3
" I know. I think I`m going to have to miss it, though.  This is when sacrificing money for job happiness sucks ****.",1
" it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",1
Girsl night ! on my way to foam party  No sleep tonight !!,2
" Thank you, I will have a look",3
i want so bad to go to the mcfly`s concert,3
thinkin twitter is really quite borin,1
"watching 'Steel Magnolias' then going to bed. I have to babysit at one tomorrow. then give mommy her gift!  night, <3 peace.love.jonas",3
got one because of my babygirl,2
" If you see it at Nova on a Monday, tickets are only $8",2
You people haVe no idea how depressing it is being at a steakhouse and not being able to eat,1
home from the beach and only my feet are burned. i am proud of myself and the sunscreen.,3
"right im off for a shower my little treasures, ill see you later on",3
Feel sorry for Adam Cook. Be strong for David and family,1
"thinking of getting new dvds, csi.  can`t wait to get my laptop.",2
straightening my hair,2
Im fine also..up way to early..lol...soo those r all ur dogs? to kut3 ..i def want a pit! lol,2
 Thanks! We`re still all passing around germs here but we`re surviving.  Have I missed anything?,2
"Well I guess I`m not heading out to LA this weekend, Doubt I`ll get to go to the PS Blog Meet and Greet",2
mhmm idk i thought of just showing up and freaking ppl out hehe...but yeah i TOTALLY understand if it is just for u guys  VN sounds cool!!,3
 I would be scratching ma head toooo,2
 Don`t worry. You`ll be 38 soon,1
May the 4th be with you! Hahahaha that`ll neverrr get old,3
 boston needs one too,2
My mom likes Milow`s version of Ayo Technology... It`s a good thing she doesn`t have a clue what it`s about.,3
"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on",1
" I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",2
Sometimes people never learn to shut up and stop talking ****,1
 LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!,2
its raining,2
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",2
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,2
 we should all be down to earth. don`t none of us walk on water  I`m just some **** nerd trying to find my way thru life lol,2
http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods,2
babysitting kids who won`t let me play wii with them,1
